X,SigmoidX,Y
-70,-0.5,-0.493674
-69.99,-0.5,-0.49724
-69.98,-0.5,-0.496807
-69.97,-0.5,-0.497142
-69.96,-0.5,-0.497126
-69.95,-0.5,-0.497108
-69.94,-0.5,-0.497074
-69.93,-0.5,-0.497035
-69.92,-0.5,-0.497003
-69.91,-0.5,-0.49697
-69.9,-0.5,-0.49694
-69.89,-0.5,-0.496907
-69.88,-0.5,-0.496887
-69.87,-0.5,-0.496855
-69.86,-0.5,-0.496832
-69.85,-0.5,-0.496803
-69.84,-0.5,-0.496782
-69.83,-0.5,-0.496758
-69.82,-0.5,-0.496738
-69.81,-0.5,-0.496716
-69.8,-0.5,-0.4967
-69.79,-0.5,-0.496683
-69.78,-0.5,-0.49666
-69.77,-0.5,-0.496649
-69.76,-0.5,-0.496628
-69.75,-0.5,-0.496615
-69.74,-0.5,-0.496602
-69.73,-0.5,-0.496596
-69.72,-0.5,-0.496582
-69.71,-0.5,-0.496573
-69.7,-0.5,-0.496566
-69.69,-0.5,-0.49656
-69.68,-0.5,-0.496549
-69.67,-0.5,-0.496548
-69.66,-0.5,-0.496538
-69.65,-0.5,-0.496543
-69.64,-0.5,-0.496537
-69.63,-0.5,-0.496533
-69.62,-0.5,-0.49654
-69.61,-0.5,-0.496537
-69.6,-0.5,-0.496538
-69.59,-0.5,-0.496537
-69.58,-0.5,-0.496554
-69.57,-0.5,-0.496556
-69.56,-0.5,-0.496558
-69.55,-0.5,-0.496561
-69.54,-0.5,-0.496574
-69.53,-0.5,-0.496585
-69.52,-0.5,-0.496593
-69.51,-0.5,-0.496603
-69.5,-0.5,-0.49662
-69.49,-0.5,-0.496631
-69.48,-0.5,-0.496642
-69.47,-0.5,-0.496662
-69.46,-0.5,-0.496678
-69.45,-0.5,-0.496692
-69.44,-0.5,-0.496714
-69.43,-0.5,-0.496727
-69.42,-0.5,-0.496747
-69.41,-0.5,-0.49677
-69.4,-0.5,-0.496784
-69.39,-0.5,-0.496807
-69.38,-0.5,-0.496834
-69.37,-0.5,-0.496858
-69.36,-0.5,-0.496882
-69.35,-0.5,-0.49691
-69.34,-0.5,-0.496931
-69.33,-0.5,-0.496955
-69.32,-0.5,-0.49699
-69.31,-0.5,-0.497012
