X,SigmoidX,Y
-30,-0.5,-4.78174e+50
-29.99,-0.5,1.91384e+51
-29.98,-0.5,4.84199e+50
-29.97,-0.5,-9.65351e+50
-29.96,-0.5,1.41523e+51
-29.95,-0.5,-1.65298e+51
-29.94,-0.5,1.31477e+50
-29.93,-0.5,1.08679e+51
-29.92,-0.5,1.59067e+51
-29.91,-0.5,-1.16966e+51
-29.9,-0.5,-5.13495e+51
-29.89,-0.5,4.75364e+50
-29.88,-0.5,4.12033e+51
-29.87,-0.5,-2.87413e+51
-29.86,-0.5,4.08944e+50
-29.85,-0.5,-2.78885e+50
-29.84,-0.5,3.12726e+51
-29.83,-0.5,3.04141e+51
-29.82,-0.5,3.06469e+51
-29.81,-0.5,2.46108e+51
-29.8,-0.5,5.84337e+50
-29.79,-0.5,1.6774e+51
-29.78,-0.5,1.05411e+51
-29.77,-0.5,-1.89009e+50
-29.76,-0.5,-2.6868e+51
-29.75,-0.5,3.35419e+51
-29.74,-0.5,1.56183e+51
-29.73,-0.5,-3.55133e+50
-29.72,-0.5,1.41384e+51
-29.71,-0.5,-2.36764e+51
-29.7,-0.5,-3.4042e+51
-29.69,-0.5,-3.33052e+51
-29.68,-0.5,4.90714e+50
-29.67,-0.5,-1.38236e+51
-29.66,-0.5,-1.33776e+51
-29.65,-0.5,-9.59062e+50
-29.64,-0.5,5.10559e+50
-29.63,-0.5,-7.86252e+50
-29.62,-0.5,-9.31638e+50
-29.61,-0.5,1.23924e+51
-29.6,-0.5,-2.67496e+51
-29.59,-0.5,4.24808e+50
-29.58,-0.5,-1.94574e+51
-29.57,-0.5,1.1712e+51
-29.56,-0.5,-1.4934e+51
-29.55,-0.5,-3.35898e+50
-29.54,-0.5,-1.77475e+51
-29.53,-0.5,8.08101e+50
-29.52,-0.5,9.4709e+50
-29.51,-0.5,-3.77901e+51
-29.5,-0.5,-4.54728e+50
-29.49,-0.5,-2.05036e+51
-29.48,-0.5,-1.25355e+51
-29.47,-0.5,1.33082e+51
-29.46,-0.5,-2.81901e+50
-29.45,-0.5,-2.25254e+51
-29.44,-0.5,-2.70129e+51
-29.43,-0.5,1.41659e+51
-29.42,-0.5,7.87964e+50
-29.41,-0.5,-5.0692e+50
-29.4,-0.5,1.11916e+51
-29.39,-0.5,3.39935e+51
-29.38,-0.5,7.94075e+50
-29.37,-0.5,1.22005e+51
-29.36,-0.5,-1.46863e+51
-29.35,-0.5,-1.55615e+51
-29.34,-0.5,-2.58702e+51
-29.33,-0.5,1.28844e+51
-29.32,-0.5,-1.2612e+51
-29.31,-0.5,4.56855e+50
-29.3,-0.5,-1.17907e+51
-29.29,-0.5,-9.04595e+50
-29.28,-0.5,-7.39994e+50
-29.27,-0.5,-1.19934e+51
-29.26,-0.5,-1.87037e+51
-29.25,-0.5,1.4479e+51
-29.24,-0.5,-5.66347e+50
-29.23,-0.5,-6.51343e+50
-29.22,-0.5,5.24902e+50
-29.21,-0.5,-2.48175e+51
-29.2,-0.5,-1.94223e+51
