X,SigmoidX,Y
-50,-0.5,-0.493659
-49.99,-0.5,-0.495088
-49.98,-0.5,-0.496313
-49.97,-0.5,-0.497345
-49.96,-0.5,-0.498199
-49.95,-0.5,-0.49889
-49.94,-0.5,-0.499433
-49.93,-0.5,-0.49984
-49.92,-0.5,-0.500125
-49.91,-0.5,-0.500299
-49.9,-0.5,-0.500376
-49.89,-0.5,-0.500367
-49.88,-0.5,-0.500281
-49.87,-0.5,-0.50013
-49.86,-0.5,-0.499923
-49.85,-0.5,-0.499668
-49.84,-0.5,-0.499374
-49.83,-0.5,-0.49905
-49.82,-0.5,-0.498702
-49.81,-0.5,-0.498337
-49.8,-0.5,-0.497961
-49.79,-0.5,-0.49758
-49.78,-0.5,-0.4972
-49.77,-0.5,-0.496824
-49.76,-0.5,-0.496458
-49.75,-0.5,-0.496104
-49.74,-0.5,-0.495767
-49.73,-0.5,-0.495449
-49.72,-0.5,-0.495153
-49.71,-0.5,-0.494881
-49.7,-0.5,-0.494635
-49.69,-0.5,-0.494416
-49.68,-0.5,-0.494226
-49.67,-0.5,-0.494065
-49.66,-0.5,-0.493934
-49.65,-0.5,-0.493834
-49.64,-0.5,-0.493764
-49.63,-0.5,-0.493725
-49.62,-0.5,-0.493715
-49.61,-0.5,-0.493736
-49.6,-0.5,-0.493785
-49.59,-0.5,-0.493862
-49.58,-0.5,-0.493967
-49.57,-0.5,-0.494097
-49.56,-0.5,-0.494252
-49.55,-0.5,-0.494431
-49.54,-0.5,-0.494633
-49.53,-0.5,-0.494855
-49.52,-0.5,-0.495096
-49.51,-0.5,-0.495356
-49.5,-0.5,-0.495631
-49.49,-0.5,-0.495921
-49.48,-0.5,-0.496225
-49.47,-0.5,-0.49654
-49.46,-0.5,-0.496864
-49.45,-0.5,-0.497198
-49.44,-0.5,-0.497538
-49.43,-0.5,-0.497883
-49.42,-0.5,-0.498232
-49.41,-0.5,-0.498583
-49.4,-0.5,-0.498936
-49.39,-0.5,-0.499287
-49.38,-0.5,-0.499637
-49.37,-0.5,-0.499984
-49.36,-0.5,-0.500327
-49.35,-0.5,-0.500664
-49.34,-0.5,-0.500994
-49.33,-0.5,-0.501317
-49.32,-0.5,-0.501632
-49.31,-0.5,-0.501937
-49.3,-0.5,-0.502231
-49.29,-0.5,-0.502515
-49.28,-0.5,-0.502787
-49.27,-0.5,-0.503046
-49.26,-0.5,-0.503293
-49.25,-0.5,-0.503526
-49.24,-0.5,-0.503745
-49.23,-0.5,-0.503949
-49.22,-0.5,-0.504139
-49.21,-0.5,-0.504314
-49.2,-0.5,-0.504474
-49.19,-0.5,-0.504619
-49.18,-0.5,-0.504748
